ArrayTaskID	BurnInType	GenomeSize	ScalingFactor	BurnInRep	DomCoeff	SimRep
712	Coal	1e5	5	2	0.0	24
713	Coal	1e5	1	1	0.0	24
714	Coal	1e5	1	2	0.0	24
715	Recap	1e5	10	1	0.0	24
716	Recap	1e5	10	2	0.0	24
717	Recap	1e5	5	1	0.0	24
718	Recap	1e5	5	2	0.0	24
719	Recap	1e5	1	1	0.0	24
720	Recap	1e5	1	2	0.0	24
721	5	1e5	10	1	0.0	25
722	5	1e5	10	2	0.0	25
723	5	1e5	5	1	0.0	25
724	5	1e5	5	2	0.0	25
725	5	1e5	1	1	0.0	25
726	5	1e5	1	2	0.0	25
